"date","time","latitude","longitude","velocity","numSatellites","temperature","pressure","altitude"
"","","","","","0","15.51446","98320.48","240.5051"
"","","","","","0","15.51446","98311.73","241.2166"
"","","","","","0","15.52769","98315.35","240.9223"
"28-04-23","13:01:32","","","","0","15.52769","98241.01","246.9667"
"28-04-23","13:01:33","","","","0","15.68641","98285.83","243.3221"
"28-04-23","13:02:33","","","","0","15.68641","98345.61","238.4635"
"28-04-23","13:02:34","","","","0","15.24945","98221.85","248.525"
"28-04-23","13:03:35","4032.063","-8854.813","0.444","5","15.24945","98272.84","244.3784"
"28-04-23","13:04:04","4032.062","-8854.813","0.204","5","15.38202","98310.52","241.3147"
"28-04-23","13:04:35","4032.061","-8854.811","0.084","5","15.38202","98473.0","228.1204"
"28-04-23","13:05:06","4032.061","-8854.811","0.07","6","14.9839","98359.74","237.3157"
"28-04-23","13:05:37","4032.062","-8854.811","0.03","6","14.9839","98337.17","239.1492"
"28-04-23","13:06:08","4032.062","-8854.812","0.027","6","15.06362","98360.43","237.2595"
"28-04-23","13:06:39","4032.061","-8854.811","0.173","6","15.06362","98302.17","241.9938"
"28-04-23","13:07:10","4032.06","-8854.811","0.049","6","15.23619","98350.8","238.042"
"28-04-23","13:07:41","4032.06","-8854.811","0.045","6","15.23619","98391.58","234.7297"
"28-04-23","13:08:12","4032.06","-8854.811","0.182","6","15.06362","98342.95","238.6797"
"28-04-23","13:08:43","4032.061","-8854.811","0.019","7","15.06362","98289.06","243.0592"
"28-04-23","13:09:14","4032.063","-8854.811","0.076","7","15.32901","98363.78","236.9871"
"28-04-23","13:09:45","4032.062","-8854.811","0.102","7","15.32901","98215.16","249.0693"
"28-04-23","13:10:16","4032.063","-8854.811","0.069","7","15.87134","98368.46","236.6075"
"28-04-23","13:10:47","4032.062","-8854.811","0.294","7","15.87134","98286.77","243.2449"
"28-04-23","13:11:18","4032.063","-8854.813","0.379","7","16.59531","98492.14","226.5679"
"28-04-23","13:11:49","4032.063","-8854.811","0.387","7","16.59531","98102.02","258.2789"
"28-04-23","13:12:20","4032.063","-8854.811","0.519","7","17.53711","98367.45","236.6899"
"28-04-23","13:12:51","4032.062","-8854.813","0.965","7","17.53711","98309.62","241.3885"
"28-04-23","13:13:22","4032.061","-8854.811","0.512","7","17.43279","98280.36","243.7664"
"28-04-23","13:13:53","4032.063","-8854.811","0.24","7","17.43279","98301.59","242.0414"
"28-04-23","13:14:24","4032.061","-8854.805","0.403","7","17.09319","98205.83","249.8285"
"28-04-23","13:14:55","4032.063","-8854.811","0.653","7","17.09319","98203.63","250.0071"
"28-04-23","13:15:26","4032.064","-8854.811","1.053","7","17.45235","98305.1","241.7552"
"28-04-23","13:15:57","4032.075","-8854.813","0.111","7","17.45235","98250.93","246.1595"
"28-04-23","13:16:28","4032.083","-8854.816","1.151","8","18.99575","98686.2","210.84"
"28-04-23","13:16:59","4032.082","-8854.816","0.451","9","18.99575","97983.32","267.9518"
"28-04-23","13:17:30","4032.083","-8854.815","0.867","8","21.85019","98784.78","202.863"
"28-04-23","13:18:01","4032.081","-8854.815","2.215","9","21.85019","97960.72","269.7953"
"28-04-23","13:18:32","4032.082","-8854.815","0.452","7","23.08496","98305.82","241.6971"
"28-04-23","13:19:03","4032.082","-8854.814","0.229","8","23.08496","97687.05","292.1482"
"28-04-23","13:19:34","4032.082","-8854.816","0.003","9","24.75796","98152.08","254.2027"
"28-04-23","13:20:05","4032.083","-8854.814","0.053","8","24.75796","97997.38","266.8055"
"28-04-23","13:20:36","4032.081","-8854.813","0.808","9","23.50483","97649.11","295.2519"
"28-04-23","13:21:07","4032.082","-8854.815","0.688","9","23.50483","98576.27","219.7453"
"28-04-23","13:21:38","4032.081","-8854.814","0.423","9","21.38776","97984.73","267.8361"
"28-04-23","13:22:09","4032.08","-8854.814","0.563","9","21.38776","98402.63","233.833"
"28-04-23","13:22:40","4032.081","-8854.815","0.175","9","20.45862","98141.66","255.0504"
"28-04-23","13:23:11","4032.081","-8854.814","0.034","9","20.45862","98354.61","237.7324"
"28-04-23","13:23:42","4032.081","-8854.813","0.109","9","19.67129","98133.67","255.7015"
"28-04-23","13:24:13","4032.081","-8854.813","0.146","9","19.67129","98346.99","238.3515"
"28-04-23","13:24:44","4032.081","-8854.813","0.141","8","19.07956","98180.68","251.8749"
"28-04-23","13:25:15","4032.082","-8854.813","0.06800001","9","19.07956","98340.08","238.913"
"28-04-23","13:25:46","4032.081","-8854.815","0.251","9","18.38175","98144.1","254.8519"
"28-04-23","13:26:17","4032.081","-8854.815","0.103","9","18.38175","98482.23","227.3718"
"28-04-23","13:26:48","4032.081","-8854.815","0.8190001","9","17.91459","98349.91","238.1148"
"28-04-23","13:27:19","4032.082","-8854.813","0.12","8","17.91459","98352.11","237.9358"
"28-04-23","13:27:50","4032.081","-8854.813","0.267","8","17.39365","98205.26","249.8742"
"28-04-23","13:28:21","4032.08","-8854.813","0.192","9","17.39365","98203.79","249.9942"
"28-04-23","13:28:52","4032.081","-8854.815","0.033","9","17.77153","98310.77","241.2952"
"28-04-23","13:29:23","4032.082","-8854.815","0.08200001","9","17.77153","98333.48","239.4497"
"28-04-23","13:29:54","4032.081","-8854.815","0.175","9","17.68041","98307.8","241.5357"
"28-04-23","13:30:25","4032.081","-8854.814","0.326","9","17.68041","98240.43","247.0139"
"28-04-23","13:30:56","4032.081","-8854.814","0.13","9","17.92109","98308.09","241.5128"
"28-04-23","13:31:27","4032.082","-8854.814","0.081","9","17.92109","98243.61","246.7548"
"28-04-23","13:31:58","4032.082","-8854.814","0.127","9","18.08347","98289.12","243.0549"
"28-04-23","13:32:29","4032.082","-8854.814","0.058","9","18.08347","98293.52","242.6972"
"28-04-23","13:33:00","4032.082","-8854.813","0.266","9","18.04452","98282.87","243.563"
"28-04-23","13:33:31","4032.083","-8854.814","0.112","9","18.04452","98243.28","246.782"
"28-04-23","13:34:02","4032.081","-8854.815","0.953","9","18.13539","98268.87","244.7008"
"28-04-23","13:34:33","4032.083","-8854.814","0.201","7","18.13539","98207.29","249.7094"
"28-04-23","13:35:04","4032.081","-8854.813","0.439","8","18.63414","98347.75","238.2901"
"28-04-23","13:35:35","4032.083","-8854.813","0.838","9","18.63414","98299.31","242.2262"
"28-04-23","13:36:06","4032.082","-8854.813","0.253","9","18.71817","98322.67","240.3275"
"28-04-23","13:36:37","4032.083","-8854.813","0.989","8","18.71817","98300.66","242.1162"
"28-04-23","13:37:08","4032.082","-8854.813","0.481","9","18.69878","98295.72","242.5182"
"28-04-23","13:37:39","4032.081","-8854.815","0.384","9","18.69878","98251.68","246.0985"
"28-04-23","13:38:10","4032.083","-8854.813","0.458","8","18.87316","98300.49","242.13"
"28-04-23","13:38:41","4032.082","-8854.814","0.691","9","18.87316","98226.33","248.1607"
"28-04-23","13:39:12","4032.082","-8854.813","0.32","9","19.10534","98291.3","242.8768"
"28-04-23","13:39:43","4032.081","-8854.813","0.771","9","19.10534","98287.63","243.1754"
"28-04-23","13:40:14","4032.08","-8854.813","0.668","9","19.05378","98273.53","244.3217"
"28-04-23","13:40:45","4032.082","-8854.814","0.402","9","19.05378","98352.85","237.8753"
"28-04-23","13:41:16","4032.083","-8854.816","0.319","9","18.78277","98276.48","244.0817"
"28-04-23","13:41:47","4032.083","-8854.813","0.315","9","18.78277","98197.93","250.4709"
"28-04-23","13:42:18","4032.083","-8854.813","0.326","9","19.29852","98342.72","238.6987"
"28-04-23","13:42:49","4032.083","-8854.813","0.477","8","19.29852","98414.01","232.909"
"28-04-23","13:43:20","4032.082","-8854.815","0.482","9","19.65845","98515.57","224.6672"
"28-04-23","13:43:51","4032.081","-8854.813","0.5440001","9","19.65845","98318.45","240.6703"
"28-04-23","13:44:22","4032.08","-8854.813","0.038","9","19.81884","98363.47","237.0128"
"28-04-23","13:44:53","4032.083","-8854.812","0.561","8","19.81884","98304.61","241.7952"
"28-04-23","13:45:24","4032.083","-8854.813","0.327","9","19.85089","98313.74","241.0533"
"28-04-23","13:45:55","4032.084","-8854.813","0.611","8","19.85089","98347.6","238.3015"
"28-04-23","13:46:26","4032.084","-8854.812","0.884","9","19.58139","98271.63","244.476"
"28-04-23","13:46:57","4032.084","-8854.813","0.539","9","19.58139","98409.16","233.3024"
"28-04-23","13:47:28","4032.084","-8854.814","0.207","9","19.07956","98268.09","244.7636"
"28-04-23","13:47:59","4032.084","-8854.813","0.034","9","19.07956","98284.98","243.3906"
"28-04-23","13:48:30","4032.085","-8854.813","0.471","8","19.21484","98323.12","240.2913"
"28-04-23","13:49:01","4032.084","-8854.815","0.404","9","19.21484","98255.5","245.7876"
"28-04-23","13:49:32","4032.084","-8854.816","0.164","8","19.13755","98233.63","247.5663"
"28-04-23","13:50:03","4032.084","-8854.815","0.269","8","19.13755","98314.45","240.9956"
"28-04-23","13:50:34","4032.084","-8854.813","0.774","8","19.2084","98334.94","239.3307"
"28-04-23","13:51:05","4032.083","-8854.814","0.704","8","19.2084","98298.2","242.3162"
"28-04-23","13:51:36","4032.084","-8854.813","0.02","8","19.44003","98363.08","237.0447"
"28-04-23","13:52:07","4032.083","-8854.813","0.322","9","19.44003","98320.44","240.5089"
"28-04-23","13:52:38","4032.083","-8854.813","0.308","8","19.39502","98307.75","241.5404"
"28-04-23","13:53:09","4032.083","-8854.813","0.906","9","19.39502","98324.66","240.1665"
"28-04-23","13:53:40","4032.083","-8854.813","0.458","8","19.18264","98264.71","245.0389"
"28-04-23","13:54:11","4032.083","-8854.813","0.462","9","19.18264","98385.2","235.2474"
"28-04-23","13:54:42","4032.083","-8854.813","0.229","9","18.93769","98316.67","240.8151"
"28-04-23","13:55:13","4032.082","-8854.813","0.189","8","18.93769","98303.45","241.8891"
"28-04-23","13:55:44","4032.083","-8854.815","0.419","8","19.11822","98354.34","237.7548"
"28-04-23","13:56:15","4032.085","-8854.816","0.11","7","19.11822","98291.89","242.8291"
"28-04-23","13:56:46","4032.083","-8854.816","0.257","8","19.49146","98396.27","234.3483"
